שם תוכנית_מקור,n_test,mae,bias,actual_mean,actual_std,n_hist,learnability,mae_per_actual
מיוחד-מתקפה באיראן - ערב מאוחרת ע.איי 24,14,0.8170555451024335,0.5543717551516139,1.0894118794763707,0.41484638227889786,16.142857142857142,0.5077333906679368,0.7499969116319475
המהדורה המוקדמת איי 24 - שישי,10,0.636968394422213,-0.28283905387289493,2.945580482367496,1.053110021992902,40.5,1.6533159748815582,0.21624545594159178
המהדורה המוקדמת איי 24 - שבת,10,0.5466320038036699,-0.3242909980663327,2.7437838533054055,1.0162992784348697,22.5,1.8592019335916652,0.19922560705543496
המהדורה המוקדמת איי 24,25,0.5233011991642458,-0.02157083297719482,0.9212449687036832,1.2599491218674839,126.0,2.407693932060015,0.5680369683870313
הסיפורים הגדולים,28,0.4545680436447111,-0.3210396887679083,0.5454971625956081,0.606335589716381,30.5,1.3338720092481708,0.8333096390121735
קבינט שישי,39,0.42323382064115733,0.02767633360329212,1.6442481770119297,2.0584909498788173,188.0,4.863720358548869,0.2574026394301951
מיוחד-מתקפה באיראן - לילה מאוחרת ע.איי 24,29,0.41752711450470814,-0.017534542828919707,0.5472067314007715,0.6782543355937989,24.0,1.624455782706181,0.7630153112990735
7 שרון גל לקט,19,0.40097544399478985,-0.12721451097753875,1.4338987558191034,0.7915873052591242,73.0,1.9741540713136785,0.2796399971528923
הישראלים איי 24 לקט,15,0.3836651016028626,0.050496453485985276,0.9168474217796233,0.5347744952829748,63.0,1.393857541509021,0.4184612319224929
"הנדל""ניסטים",14,0.35771209795588693,0.13015442718051265,0.45481475065313665,0.5087611346737133,63.5,1.4222642666574106,0.7865006520615141
מיוחד-מתקפה באיראן - לילה ע.איי 24,21,0.33873760286903715,-0.009453336977813724,0.7387652610009572,0.5962259719238662,19.0,1.7601410852351673,0.4585185860121247
חדר החדשות איי 24,617,0.3218444276261656,-0.17531114580950696,0.5767518247457881,0.5690868499162021,3550.0,1.7682047631323847,0.5580293183606715
מהדורת חמש איי 24 מוקדמת,15,0.31833313718705086,-0.05696246935192992,0.8055267702936096,0.3178500033190637,8.0,0.9984823010502257,0.3951862916623123
חדשות איי 24 - מבזק,23,0.3182355235042783,0.3116209525883169,0.22252674419781254,0.27150594951787027,59.0,0.8531604093979163,1.4301001196574672
זמן ריפוי איי 24,18,0.30494908296527584,-0.09600339908554205,0.5160421013377321,0.5330326879969151,25.5,1.7479399603822086,0.590938379203477
מגזין השבת איי 24,21,0.3048550135377113,0.008619211592209247,1.0694436715878672,1.0559802444997775,82.0,3.463876917245287,0.28505943944207435
מהדורת חמש איי 24,52,0.29634334038814497,0.029084151561540057,0.6762944652207137,0.4729329515209573,194.5,1.5958953250021364,0.4381868485223092
המהדורה המרכזית איי 24,104,0.28242872939914515,0.024047254055158056,0.8204861022776633,0.8100444438110469,416.5,2.86813754937177,0.3442212227789418
קבינט שישי לקט,18,0.2801336206108322,-0.18292932073176582,0.45580182946331477,0.5607319925373622,12.5,2.001659034408952,0.6145952089325231
מהדורת 15,32,0.2697344150535952,-0.047503830135039095,0.5338834686853097,0.3878771172695155,191.5,1.4379963980215347,0.5052308806598139
הישראלים איי 24,81,0.26476752488589134,0.15817199705139853,0.42056021548645584,0.32947407924811756,428.0,1.244390071592478,0.6295591335943145
7 שרון גל,89,0.2578124629991749,0.004996014956621884,0.9137944095071326,0.9040410282967574,364.0,3.5065838857435327,0.28213399022459495
תוכנית הלילה איי 24,35,0.2545072156756457,0.023822909583019983,0.2840695710908477,0.3159340322192885,103.0,1.2413558939009715,0.895932692467974
מדד גלבוע לקט,35,0.2542435693660908,0.0018743837490583376,0.4972978250940989,0.49305728944935445,192.0,1.9393107588864542,0.5112501131851577
מדד גלבוע,102,0.24197636915282567,-0.06187591233576619,0.7491455148430837,0.6714134079488953,504.5,2.774706514935964,0.32300316074575997
שיחת נפש,28,0.2417908993393069,-0.013881160028129764,0.3646867612293144,0.31464157427318656,49.5,1.3012961824987788,0.6630098074420343
חדשות איי 24 - מבזק מיוחד,75,0.24154342299383438,0.04478655347927664,0.34077302106427887,0.3950913935890794,47.0,1.6356951006658726,0.708810287385611
הערביסטים,57,0.22402040802064835,-0.05185416552695967,0.542431485381836,0.4851076915828255,354.0,2.165462048163542,0.4129930029097642
הסיפורים הגדולים לקט,104,0.2231420416762543,-0.05370296198583873,0.4104516294531177,0.3592805897767677,167.5,1.610098155765869,0.5436500324619661
מיוחד-מתקפה באיראן - לפנות בוקר ע.איי 24,15,0.21954059237930723,0.11049977842134023,0.20893878334292842,0.1552399435681129,32.0,0.7071127115294467,1.0507412212646907
חוק וצדק איי 24,14,0.1892664438791273,0.02432860627115793,0.35128903727735167,0.25782610017766566,37.5,1.36223883586212,0.5387769722221551
מדברים חדשות,40,0.18145571042639672,0.004792409242770043,0.35472589693651313,0.2754835326341676,362.5,1.5181860740938824,0.5115378155175195
7 דניאל רוט אבנרי,10,0.17143259324092788,-0.0014353671214137164,0.4726750082681071,0.3248196924229248,21.5,1.894737087517715,0.36268596867234665
שותפים חיים,26,0.16930215369498375,0.055384408045605626,0.17590595840788764,0.15948794655752105,13.5,0.9420314099775479,0.962458322772722
הערביסטים לקט,25,0.16673445063008013,-0.0568326590451632,0.26824179620034544,0.3447169722567787,28.0,2.067460989340311,0.6215826653112212
מהדורת 15 - מוקדמת,14,0.1659438852888906,0.04788033819133973,0.3439004992361844,0.2048116144518181,56.5,1.2342221233115216,0.48253458676988853
קול העסק איי 24,15,0.1599614989481628,0.043619135083161426,0.34789704267159893,0.22813687497759283,36.0,1.4261986570376097,0.45979551225780363
סיכום שבועי איי 24,5,0.131601430497521,0.131601430497521,0.1895744680851064,0.14695375177485676,72.0,1.116657708197366,0.6941938533539266
עדויות יום השואה,18,0.11332761179385405,0.05301660972574231,0.08333333333333333,0.07634059673751348,9.5,0.6736275081520209,1.3599313415262486
